"VOI_NUM,N,9,2","ACV_NUM,N,9,2","X,N,13,5","Y,N,14,5","ACC_TBAN,C,3","ACC_TACC,C,3","DATE_,C,12","RIVOLI,C,10","ID_PP,N,10,0"
511,4357,769300,6280000,NON,NON,"""18-10-2010""",511,43
1219,4374,768800,6280000,NON,OUI,"""18-10-2010""",1219,44
2246,4378,768700,6280000,NON,OUI,"""18-10-2010""",2246,45
448,4482,767700,6280000,TVX,TVX,"""18-10-2010""",448,46
2852,4459,767800,6281000,NON,OUI,"""18-10-2010""",2852,47
2852,4459,767900,6281000,NON,NON,"""18-10-2010""",2852,48
2852,4459,767900,6281000,NON,OUI,"""18-10-2010""",2852,49
2852,2461,767800,6281000,NON,NON,"""18-10-2010""",2852,50
2852,2461,767700,6281000,NON,OUI,"""18-10-2010""",2852,51
1676,2455,767800,6280000,TVX,TVX,"""18-10-2010""",1676,52
448,2454,767800,6280000,TVX,TVX,"""18-10-2010""",448,53
448,2456,767800,6280000,TVX,TVX,"""18-10-2010""",448,54
2077,2259,767600,6280000,NON,NON,"""18-10-2010""",2077,55
415,2276,767500,6280000,NON,OUI,"""18-10-2010""",415,56
1676,2277,767500,6280000,NON,NON,"""18-10-2010""",1676,57
1676,9972,767400,6280000,NON,NON,"""18-10-2010""",1676,58
1676,2273,767400,6280000,OUI,NON,"""18-10-2010""",1676,59
1390,2257,767400,6280000,OUI,NON,"""18-10-2010""",1390,60
1808,6389,767300,6281000,TVX,TVX,"""18-10-2010""",1808,61
1568,3645,767400,6281000,TVX,TVX,"""18-10-2010""",1568,62
448,3642,767500,6281000,TVX,TVX,"""18-10-2010""",448,63
1666,6626,767800,6280000,TVX,TVX,"""18-10-2010""",1666,64
1390,2241,767800,6280000,TVX,TVX,"""18-10-2010""",1390,65
493,6629,767700,6280000,OUI,OUI,"""18-10-2010""",493,66
676,4394,768500,6280000,NON,NON,"""18-10-2010""",676,67
676,4394,768500,6280000,OUI,OUI,"""18-10-2010""",676,68
861,4430,768500,6280000,OUI,OUI,"""18-10-2010""",861,69
861,4430,768500,6280000,NON,NON,"""18-10-2010""",861,70
747,4484,768400,6280000,OUI,NON,"""18-10-2010""",747,71
747,4484,768300,6280000,NON,NON,"""18-10-2010""",747,72
861,4435,768400,6280000,NON,OUI,"""18-10-2010""",861,73
1676,4422,768300,6280000,OUI,NON,"""18-10-2010""",1676,74
494,4455,768200,6280000,NON,NON,"""18-10-2010""",494,75
448,2250,767900,6280000,TVX,TVX,"""18-10-2010""",448,76
1456,4450,768100,6280000,NON,OUI,"""18-10-2010""",1456,77
1676,4457,768100,6280000,NON,OUI,"""18-10-2010""",1676,78
1676,4457,768100,6280000,NON,OUI,"""18-10-2010""",1676,79
2042,4489,768300,6280000,NON,NON,"""18-10-2010""",2042,80
1358,2266,768300,6280000,OUI,OUI,"""18-10-2010""",1358,81
1355,2265,768300,6280000,TVX,TVX,"""18-10-2010""",1355,82
